Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
65133,1000 18TH AVENUE,1000 18TH AVE,0714,Newark City,07104    ,Suspected
73416,100 19TH AVENUE,100 19TH AVE,0714,Newark City,07105    ,Suspected
52807,1007 1009 BROAD STREET,1007 1009 BROAD ST,0714,Newark City,07108    ,LSRP Oversight
424386,100 HOLLAND ROAD,100 HOLLAND RD,0719,South Orange Village Twp,07079    ,UST Fund Application Closed 
578002,100 MLK STOCKPILE REMOVAL,100 DR MARTIN LUTHER KING JR BLVD,0705,East Orange City,07017    ,Suspected
89894,100 WATSON AVENUE,100 WATSON AVE,0705,East Orange City,07018    ,Suspected
470625,10 & 10A EAST WILLOW ST,10 E WILLOW ST,0712,Millburn Twp,07041    ,RAO-Entire Site (Unrestricted Use)
9031,101 CLINTON ROAD,101 CLINTON RD,0707,Fairfield Twp,07004    ,RAO-Entire Site (Unrestricted Use)
159237,102 108 WELLAND AVENUE,102 108 WELLAND AVE,0709,Irvington Twp,07111    ,LSRP Oversight
221845,1025 1031 BROAD STREET,1025 1031 BROAD ST,0714,Newark City,07102    ,No SRP Oversight Required
221846,1033 BROAD STREET,1033 BROAD ST,0714,Newark City,07102    ,RAO-Entire Site (Unrestricted Use)
64889,103 7TH AVENUE,103 7TH AVE,0714,Newark City,07104    ,Suspected
364382,104 106 AUGUSTA ST,104 106 AUGUSTA ST,0709,Irvington Twp,07111    ,Known
443170,104 BOYDEN AVENUE,104 BOYDEN AVE,0711,Maplewood Twp,07040    ,UST Fund Application Closed 
65024,104 FOUNDRY STREET REALTY,RT 1/9 & FOUNDRY ST,0714,Newark City,07118    ,No SRP Oversight Required
732533,104 HOBSON STREET,104 HOBSON ST,0702,Bloomfield Twp,07003    ,UST Fund Application Under Review
606149,104 NORTH FRANKLIN AVENUE,104 N FRANKLIN AVE,0716,Nutley Twp,07110    ,RAO-A (Limited Restricted Use)
65249,105 SOUTH TERRACE,105 SOUTH TER,0712,Millburn Twp,07041    ,Suspected
231376,1072 PARTNERS CORP,1072 1074 S ORANGE AVE,0714,Newark City,07106    ,Suspected
762809,107 LAUREL AVENUE,107 LAUREL AVE,0709,Irvington Twp,071111947,Known
592221,108 110 POLK STREET,108 110 POLK ST,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
64892,109 7TH AVENUE,109 7TH AVE,0714,Newark City,07104    ,Suspected
653487,109 GOTTHARDT STREET,109 GOTTHARDT ST,0714,Newark City,07105    ,LSRP Oversight
88609,109 UNION STREET,109 UNION ST,0713,Montclair Twp,07042    ,Suspected
74560,10 ALVA STREET,10 ALVA ST,0702,Bloomfield Twp,07003    ,Suspected
699671,10 BARNETT STREET,10 BARNETT ST,0702,Bloomfield Twp,07003    ,Known
48051,10 EISENHOWER PARKWAY,10 EISENHOWER PKWY,0718,Roseland Boro,07050    ,Known
531189,10 LIBELLA COURT,10 LIBELLA CT,0714,Newark City,07105    ,Known
65958,10 MINNISINK ROAD,10 MINNISINK RD,0712,Millburn Twp,07041    ,Suspected
258106,10 SOUTH ORATON PARKWAY,10 S ORATON PKWY ,0705,East Orange City,07018    ,RAO-A (Unrestricted Use)
512936,10 WARD STREET,10 WARD ST,0702,Bloomfield Twp,07003    ,RAO-A (Unrestricted Use)
435847,110 CHADWICK AVENUE,110 CHADWICK AVE,0714,Newark City,07108    ,Known
51350,110 WASHINGTON STREET,110 WASHINGTON ST,0702,Bloomfield Twp,07003    ,LSRP Oversight
448220,111 117 11TH AVENUE,111 117 11TH AVE,0714,Newark City,07107    ,LSRP Oversight
53662,11 17 ANN STREET,11 17 ANN ST,0714,Newark City,07108    ,LSRP Oversight
666650,111 IDEATION WAY,111 IDEATION WAY,0716,Nutley Twp,07110    ,LSRP Oversight
427451,111 MAPLE AVENUE,111 MAPLE AVE,0705,East Orange City,07018    ,UST Fund Application Closed 
605315,111 MOUNT PROSPECT AVENUE,111 MT PROSPECT AVE,0720,Verona Twp,07044    ,RAO-A (Unrestricted Use)
524804,112 116 WASHINGTON STREET,112 116 WASHINGTON ST,0702,Bloomfield Twp,07003    ,Suspected
65328,112 8TH AVENUE,112 8TH AVE,0714,Newark City,07114    ,Suspected
64963,112 FAIRVIEW AVENUE,112 FAIRVIEW AVE,0719,South Orange Village Twp,07079    ,Suspected
708605,11 43 RAYMOND PLAZA WEST,11 43 RAYMOND PLAZA W,0714,Newark City,07102    ,RAO-Child Care Facility (Limited Restricted Use)
449380,114 EASTERN PARKWAY,114 EASTERN PKWY,0714,Newark City,07706    ,UST Fund Application Closed 
75454,114 QUITMAN STREET,114 QUITMAN ST,0714,Newark City,07105    ,Suspected
122824,114 UPPER MOUNTAIN AVENUE,114 UPPER MOUNTAIN AVE,0713,Montclair Twp,07042    ,Suspected
221639,114 WASHINGTON AVENUE,114 WASHINGTON AVE,0709,Irvington Twp,07111    ,Known
64891,115 7TH AVENUE,115 7TH AVE,0714,Newark City,07104    ,Suspected
509534,116 CYPRESS STREET OIL SPILL,116 CYPRESS ST,0712,Millburn Twp,07141    ,Suspected
91398,116 HUNTINGTON TERRACE,116 HUNTINGTON TER,0714,Newark City,07112    ,Suspected
64726,116 SMULL AVENUE,116 SMULL AVE,0721,West Caldwell Twp,07086    ,Suspected
672211,118 BROOKDALE AVENUE,118 BROOKDALE AVE,0714,Newark City,07106    ,RAO-A (Unrestricted Use)
606520,119 HILL STREET @ ORANGE COMMONS INDUSTRIAL PARK,119 HILL ST,0717,Orange City Twp,07050    ,RAO-A (Restricted Use)
64694,119 PARK AVENUE,119 PARK AVE,0714,Newark City,07199    ,No SRP Oversight Required
399349,11 HIGHLAND PLACE,11 HIGHLAND PL,0722,West Orange Twp,07052    ,UST Fund Application Closed 
201988,11 HOMEWOOD WAY,11 HOMEWOOD WAY,0713,Montclair Twp,07042    ,Suspected
531696,11 LIBELLA COURT,11 LIBELLA CT,0714,Newark City,07105    ,Known
751115,11 NORTH 21ST STREET,11 N 21ST ST,0705,East Orange City,07017    ,RAO-A (Unrestricted Use)
88314,11 OBERLIN STREET,11 OBERLIN ST,0711,Maplewood Twp,07040    ,Suspected
73473,120 MILLIGAN PLACE,120 MILLIGAN PL,0719,South Orange Village Twp,07079    ,Suspected
355758,121 123 HARRISON AVENUE CHILDCARE PROPOSED,121 123 HARRISON AVE,0718,Roseland Boro,07068    ,RAO-Entire Site (Unrestricted Use)
409478,12 14 ST FRANCIS STREET,12 14 ST FRANCIS ST,0714,Newark City,07101    ,Known
391689,121 ORANGE STREET,121 ORANGE ST,0702,Bloomfield Twp,07003    ,UST Fund Application Closed 
9221,122 PETRO HOLDING SERVICE STATION,122 BLOOMFIELD AVE,0702,Bloomfield Twp,07003    ,LSRP Oversight
83858,123 127 COIT STREET ABANONDED BUILDING,123 127 COIT ST,0709,Irvington Twp,07111    ,LSRP Oversight
376735,123 KINDERSTAR DAY SCHOOL,123 FAIRFIELD RD,0707,Fairfield Twp,07004    ,RAO-Child Care Facility (Unrestricted Use)
440461,123 LEHIGH AVENUE,123 LEHIGH AVE,0714,Newark City,07112    ,UST Fund Application Closed 
167511,124 148 15TH STREET,124 148 S 15TH ST,0714,Newark City,07107    ,LSRP Oversight
372082,1255 BROAD STREET OFFICE BUILDING,1255 BROAD ST,0702,Bloomfield Twp,07003    ,CCF Approved
74423,125 FRANKLIN STREET,125 FRANKLIN ST,0701,Belleville Twp,07109    ,Known
650982,126 HIGHLAND AVENUE,126 HIGHLAND AVE,0712,Millburn Twp,07078    ,RAO-A (Unrestricted Use)
706350,127 147 DOREMUS AVENUE,127 147 DOREMUS AVE,0714,Newark City,07105    ,LSRP Oversight
362301,127 BURNETT AVENUE,127 BURNETT AVE,0711,Maplewood Twp,07040    ,Suspected
393587,127 CENTRAL PLACE,127 CENTRAL PL ,0717,Orange City Twp,07050    ,RAO-Entire Site (Restricted Use)
75621,127 HANSBURY AVENUE,127 HANSBURY AVE,0714,Newark City,07105    ,Suspected
399827,128 LINDBERGH BOULEVARD,128 LINDBERGH BLVD,0702,Bloomfield Twp,07003    ,Known
529903,129 165 LITTLETON AVENUE,129 165 LITTLETON AVE,0714,Newark City,07103    ,RAO-A (Unrestricted Use)
89889,129 BEECH STREET,129 BEECH ST,0705,East Orange City,07018    ,Suspected
199905,129 ELLERY AVENUE,129 ELLERY AVE,0714,Newark City,07101    ,Known
368389,12 BRINSMAID PLACE DRUMS,12 BRINSMAID PL,0714,Newark City,071053105,No SRP Oversight Required
93347,12 CHESTNUT STREET,12 CHESTNUT ST,0705,East Orange City,07018    ,Suspected
380046,12 DURYEA ROAD,12 DURYEA RD,0713,Montclair Twp,07043    ,Known
697351,12 EVANS STREET,12 EVANS ST,0707,Fairfield Twp,07004    ,RAO-A (Limited Restricted Use)
531196,12 LIBELLA COURT,12 LIBELLA CT,0714,Newark City,07105    ,Known
87637,12 MISSION STREET,12 MISSION ST,0713,Montclair Twp,07042    ,Suspected
80487,12 PROSPECT TERRACE,12 PROSPECT TER,0705,East Orange City,07019    ,Suspected
662649,130 133 NORTH STREET OF NEWARK,130 132 11TH ST,0714,Newark City,07107    ,RAO-A (Unrestricted Use)
617442,13 15 CRAWFORD STREET,13 15 CRAWFORD ST,0714,Newark City,07102    ,LSRP Oversight
412208,13 25 CENTRAL AVENUE,13 25 CENTRAL AVE,0714,Newark City,07102    ,RAO-A (Limited Restricted Use)
415948,132 WALKER ROAD,132 WALKER RD,0722,West Orange Twp,07052    ,UST Fund Application Closed 
733911,133 JACKSON STREET OF NEWARK,123 133 JACKSON ST,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
602650,135 NEW DUTCH LANE,135 NEW DUTCH LN,0707,Fairfield Twp,07004    ,Verified Unknown Source
65248,136 SQUIRE HILL ROAD,136 SQUIRE HILL RD,0713,Montclair Twp,07042    ,Suspected
704425,137 STOCKTON STREET,137 STOCKTON ST,0714,Newark City,07105    ,LSRP Oversight
756927,138 CLIFFORD STREET,138 CLIFFORD ST,0714,Newark City,07105    ,Known
75614,138 THOMAS STREET,138 THOMAS ST,0714,Newark City,07105    ,Suspected
750188,1390 BROAD STREET,1390 BROAD ST,0702,Bloomfield Twp,07003    ,Known
392343,13 ELBERTA ROAD,13 ELBERTA RD,0711,Maplewood Twp,07040    ,UST Fund Application Closed 
75019,13 HOLLAND STREET,13 HOLLAND ST,0714,Newark City,07105    ,Suspected
531767,13 LIBELLA COURT,13 LIBELLA CT,0714,Newark City,07105    ,Known
64751,13 WOODLAND TERRACE,13 WOODLAND TER,0710,Livingston Twp,07039    ,Suspected
725055,141 UNION AVENUE,141 UNION AVE,0709,Irvington Twp,07111    ,Suspected
594154,14 22 MAIN STREET ASSOC,14 22 MAIN ST RR,0701,Belleville Twp,07109    ,LSRP Oversight
164757,143 LITTLE FALLS ROAD,143 LITTLE FALLS RD,0704,Cedar Grove Twp,07009    ,No SRP Oversight Required
577268,143 VAN BUREN STREET,143 VAN BUREN ST,0714,Newark City,07105    ,Known
74862,145 WARD PLACE,145 WARD PL,0719,South Orange Village Twp,07079    ,Suspected
87346,147 HIGH STREET,147 HIGH ST,0713,Montclair Twp,07042    ,Suspected
342426,148 12TH STREET,148 12TH ST,0714,Newark City,07107    ,Suspected
758137,148 150 3RD AVENUE,148 150 3RD AVE,0714,Newark City,07104    ,Known
465187,148 LYONS AVENUE,148 LYONS AVE,0714,Newark City,07112    ,Suspected
432737,148 PARROW STREET,148 PARROW ST,0717,Orange City Twp,07050    ,LSRP Oversight
200738,148 TURRELL AVENUE,148 TURRELL AVE,0719,South Orange Village Twp,07079    ,Suspected
8744,148 VALLEY ROAD STRIP MALL,148 VALLEY RD,0713,Montclair Twp,07042    ,RAO-A (Unrestricted Use)
183052,149 HILLSIDE AVENUE,149 HILLSIDE AVE,0714,Newark City,07108    ,Suspected
64145,149 MONTROSE AVENUE,149 MONTROSE AVE,0719,South Orange Village Twp,07079    ,Suspected
64958,14 BIRDSEYE GLEN,14 BIRDSEYE GLEN,0720,Verona Twp,07044    ,Suspected
73940,14 LAUREL PLACE,14 LAUREL PL,0721,West Caldwell Twp,07006    ,Suspected
65529,14 PARK AVENUE,14 PARK AVE,0703,Caldwell Boro,07007    ,Suspected
709662,14 VANDERBILT COURT,14 VANDERBILT CT,0709,Irvington Twp,07111    ,RAO-A (Unrestricted Use)
75624,14 VAN VELSOR PLACE,14 VAN VELSOR PL,0714,Newark City,07105    ,Suspected
748399,150 152 SOUTH 15TH STREET,150 152 S 15TH ST,0714,Newark City,07107    ,LSRP Oversight
49837,150 RUTLEDGE AVENUE,150 RUTLEDGE AVE,0705,East Orange City,07017    ,LSRP Oversight
191957,150 VAN BUREN STREET,150 VAN BUREN ST,0714,Newark City,07101    ,Suspected
767611,15 17 LEO PLACE,15 17 LEO PL,0714,Newark City,07108    ,Known
221849,15 17 LINCOLN PARK COAST CULTURAL DISTRICT @ 15 17 LINCOLN PK ,15 17 LINCOLN PK,0714,Newark City,07102    ,LSRP Oversight
14241,151 RAYMOND BOULEVARD,155 RAYMOND BLVD,0714,Newark City,07105    ,LSRP Oversight
745443,152 19TH AVENUE,152 19TH AVE,0709,Irvington Twp,07111    ,Known
65679,153 AVENUE B,153 AVE B,0714,Newark City,07101    ,Suspected
392695,155 161 RIDGEWOOD AVENUE,155 161 RIDGEWOOD AVE,0714,Newark City,07102    ,LSRP Oversight
437113,155 CENTRAL AVENUE,155 CENTRAL AVE,0721,West Caldwell Twp,07006    ,UST Fund Application Closed 
167824,155 GROVE ROAD,155 GROVE RD ,0719,South Orange Village Twp,07079    ,Suspected
701791,156 202 BLANCHARD STREET,156 202 BLANCHARD ST REAR OF,0714,Newark City,07105    ,LSRP Oversight
126108,157 FREEMAN AVENUE,157 FREEMAN AVE,0705,East Orange City,07018    ,Known
87395,157 MITCHELL STREET,157 MITCHELL ST,0722,West Orange Twp,07052    ,Suspected
64688,15 BIRDSEYE GLEN,15 BIRDSEYE GLEN,0720,Verona Twp,07044    ,Suspected
153759,15 EAST CEDAR LANE,15 E CEDAR LN,0711,Maplewood Twp,07040    ,Suspected
415622,15 FAIRFIELD COURT,15 FAIRFIELD CT,0707,Fairfield Twp,07004    ,RAO-A (Unrestricted Use)
523346,15 HILLSIDE AVENUE,15 HILLSIDE AVE,0712,Millburn Twp,07078    ,Suspected
531811,15 LIBELLA COURT,15 LIBELLA CT,0714,Newark City,07105    ,Known
449665,15 WASHINGTON TERRACE,15 WASHINGTON TER,0705,East Orange City,07017    ,UST Fund Application Closed 
64776,15 WHITE OAK DRIVE,15 WHITE OAK DR,0715,North Caldwell Boro,07006    ,Suspected
662483,160 W SOUTH ORANGE AVE,160 W SOUTH ORANGE AVE,0719,South Orange Village Twp,07079    ,LSRP Oversight
664384,162 166 FRONTAGE ROAD,162 FRONTAGE RD,0714,Newark City,07114    ,LSRP Oversight
393614,162 CENTRAL PLACE,162 CENTRAL PL,0717,Orange City Twp,07050    ,Suspected
74426,162 IRVING AVENUE,162 IRVING AVE,0719,South Orange Village Twp,07079    ,Suspected
662659,16 32 FULTON STREET,16 32 FULTON ST,0714,Newark City,07102    ,LSRP Oversight
65802,163 GARFIELD PLACE,163 GARFIELD PL,0719,South Orange Village Twp,07079    ,Suspected
525433,164 168 BLOOMFIELD AVENUE,164 168 BLOOMFIELD AVE,0702,Bloomfield Twp,07003    ,RAO-Entire Site (Unrestricted Use)
64886,164 WATCHUNG AVENUE,164 WATCHUNG AVE,0713,Montclair Twp,07042    ,Suspected
368988,165 HALSEY STREET DIESEL SPILL,165 HALSEY ST,0714,Newark City,07102    ,No SRP Oversight Required
65608,165 MUNN AVENUE NORTH,165 N MUNN AVE,0705,East Orange City,07019    ,Suspected
73939,168 FOREST HILL ROAD,168 FOREST HILL RD,0722,West Orange Twp,07052    ,Suspected
767550,168 GARDEN AVENUE,168 GARDEN AVE,0701,Belleville Twp,07109    ,Known
145983,169 BROOKDISE AVE,169 BROOKSIDE AVE,0709,Irvington Twp,07111    ,Suspected
73481,169 ELLERY AVENUE,169 ELLERY AVE,0714,Newark City,07105    ,Suspected
87563,16 BELLEGROVE DRIVE,16 BELLEGROVE DR,0713,Montclair Twp,07042    ,Suspected
128995,16 BLUM LANE,16 BLUM LN,0716,Nutley Twp,07110    ,Suspected
64440,16 CRESCENT TERRACE,16 CRESCENT TER,0701,Belleville Twp,07109    ,Suspected
83437,16 EUCLID AVENUE,16 EUCLID AVE,0711,Maplewood Twp,07040    ,Suspected
85021,16 LOMBARDY PLACE,16 LOMBARDY PL,0711,Maplewood Twp,07040    ,Suspected
88610,16 MAPLE STREET,16 MAPLE ST,0702,Bloomfield Twp,07003    ,Suspected
64358,16 RACE STREET,16 RACE ST,0702,Bloomfield Twp,07003    ,Suspected
409479,16 ST FRANCIS STREET,16 ST FRANCIS ST,0714,Newark City,07101    ,Known
65408,16 WARREN ROAD,16 WARREN RD,0711,Maplewood Twp,07040    ,Suspected
64932,170 GARFIELD PLACE,170 GARFIELD PL,0711,Maplewood Twp,07040    ,Suspected
406501,17 19 WILLIAM STREET VACANT OFFICE BUILDING,17 19 WILLIAM ST,0714,Newark City,07102    ,Verified Unknown Source
731768,171 CENTRAL AVENUE,171 CENTRAL AVE,0705,East Orange City,07018    ,RAO-A (Unrestricted Use)
576810,171 FOUNDRY STREET,171 FOUNDRY ST,0714,Newark City,07105    ,Suspected
371344,172 HOLLYWOOD AVENUE,172 HOLLYWOOD AVE,0705,East Orange City,070183914,Suspected
766737,173 COOPER AVENUE,173 COOPER AVE,0713,Montclair Twp,07043    ,Known
427992,174 ELLERY AVENUE,174 ELLERY AVE,0714,Newark City,07106    ,UST Fund Application Closed 
599197,175 HILL STREET @ ORANGE COMMONS INDUSTRIAL PARK,175 HILL ST,0717,Orange City Twp,07050    ,RAO-ISRA Leasehold (Unrestricted Use)
618764,176 JEFFERSON STREET,176 JEFFERSON ST,0714,Newark City,07105    ,Known
186147,176 VAN BUREN STREET,176 VAN BUREN ST,0714,Newark City,07105    ,Known
184627,1793 1795 SPRINGFIELD AVENUE PROPERTY,1793 1795 SPRINGFIELD AVE,0711,Maplewood Twp,07040    ,RAO-A (Unrestricted Use)
456284,179 GLENRIDGE AVENUE,179 GLENRIDGE AVE,0713,Montclair Twp,07042    ,Known
766684,17 BROOKWOOD DRIVE,17 BROOKWOOD DR,0711,Maplewood Twp,07040    ,Known
672361,17 LEXINGTON AVENUE OF NEWARK,17 LEXINGTON AVE,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
531820,17 LIBELLA COURT,17 LIBELLA CT,0714,Newark City,07105    ,Known
394800,1 7 NELSON PLACE,1 7 NELSON PL,0709,Irvington Twp,07111    ,Suspected
74803,17 STANLEY ROAD,17 STANLEY RD,0719,South Orange Village Twp,07079    ,Suspected
409501,17 ST CHARLES STREET,17 ST CHARLES ST,0714,Newark City,071053921,Known
85523,17 UNION PLACE,17 UNION PL,0702,Bloomfield Twp,07003    ,Suspected
224828,180 SHEPHARD AVENUE,180 SHEPHARD AVE,0714,Newark City,07112    ,Known
412348,181 40TH STREET,181 40TH ST,0709,Irvington Twp,07111    ,RAO-ISRA Entire Site (Unrestricted Use)
711330,18 20 LACKAWANNA PLAZA,18 20 LACKAWANNA PLAZA,0713,Montclair Twp,07042    ,RAO-A (Unrestricted Use)
409481,18 20 ST FRANCIS STREET,18 20 ST FRANCIS ST,0714,Newark City,07101    ,Known
747903,1824 SPRINGFIELD,1824 SPRINDFIELD AVE,0711,Maplewood Twp,07040    ,RAO-A (Unrestricted Use)
386853,1826 1848 MCCARTER HIGHWAY,1826 1848 MCCARTER HWY ,0714,Newark City,07103    ,LSRP Oversight
221838,18 28 WEST KINNEY STREET,18 28 W KINNEY ST,0714,Newark City,07102    ,LSRP Oversight
594182,18 36 BLANCHARD STREET,18 36 BLANCHARD ST REAR,0714,Newark City,07105    ,LSRP Oversight
85607,183 WILLOWDALE AVENUE,183 WILLOWDALE AVE,0713,Montclair Twp,07042    ,Suspected
411938,185 CHURCH STREET CORP,185 CHURCH ST,0719,South Orange Village Twp,07079    ,RAO-A (Unrestricted Use)
450632,185 WEAVER AVENUE,185 WEAVER AVE,0702,Bloomfield Twp,07003    ,UST Fund Application Closed 
56213,186 194 STUYVESANT AVENUE,186 194 STUYVESANT AVE,0714,Newark City,07102    ,LSRP Oversight
84019,1866 SPRINGFIELD AVENUE,1866 SPRINGFIELD AVE,0711,Maplewood Twp,07040    ,LSRP Oversight
428510,186 BLEEKER STREET,186 BLEEKER ST,0714,Newark City,07102    ,RAO-A (Unrestricted Use)
369322,187 188 BLANCHARD STREET FORMER,187 189 BLANCHARD ST FORMER,0714,Newark City,07103    ,Suspected
481017,1882 SPRINGFIELD AVENUE,1882 SPRINGFIELD AVE,0711,Maplewood Twp,07040    ,Suspected
420830,189 193 WEST BIGELOW STREET,189 193 W BIGELOW ST,0714,Newark City,07102    ,RAO-A (Unrestricted Use)
8130,18 CENTRAL AVENUE,18 CENTRAL AVE,0722,West Orange Twp,07052    ,LSRP Oversight
229913,18 CORP SOUTH ORANGE AVENUE REDEVELOPMENT,650 S ORANGE AVE,0710,Livingston Twp,07039    ,RAO-Entire Site (Limited Restricted Use)
64804,18 ELISA COURT,18 ELISA CT,0704,Cedar Grove Twp,07009    ,Suspected
739773,18 HARVARD TERRACE,18 HARVARD TER,0722,West Orange Twp,07052    ,Known
634579,18 LIBELLA COURT,18 LIBELLA CT,0714,Newark City,07105    ,LSRP Oversight
649577,18 NASSAU PLACE,18 NASSAU PL,0705,East Orange City,07019    ,UST Fund Application Under Review
668567,18 NORTH 22ND STREET,18 N 22ND ST,0705,East Orange City,07017    ,UST Fund Application Under Review
64852,18 SWEETWOOD DRIVE,18 SWEETWOOD DR,0704,Cedar Grove Twp,07009    ,Suspected
56651,192 222 CLIFFORD STREET,192 222 CLIFFORD ST,0714,Newark City,08830    ,LSRP Oversight
65964,192 GROVE STREET,192 GROVE ST,0705,East Orange City,07019    ,Suspected
65493,192 WEST NORTHFIELD ROAD,192 W NORTHFIELD RD,0710,Livingston Twp,07039    ,Suspected
330598,193 205 CLIFFORD STREET,193 205 CLIFFORD ST,0714,Newark City,07114    ,LSRP Oversight
750346,19 33 MURRAY STREET,19 33 MURRAY ST,0714,Newark City,07114    ,Known
702725,194 200 & 204 208 SHERMAN AVENUE,194 200 SHERMAN AVE,0714,Newark City,07114    ,LSRP Oversight
169947,195 CLINTON STREET,195 CLINTON ST,0705,East Orange City,07017    ,Suspected
393618,199 PARROW STREET,199 PARROW ST,0717,Orange City Twp,07050    ,Suspected
73616,19B BROOKDALE GARDENS,19 BROOKDALE GARDENS,0702,Bloomfield Twp,07003    ,Suspected
65981,19 BOYDEN PARKWAY,19 BOYDEN PKWY,0711,Maplewood Twp,07040    ,Suspected
410659,19 CHARLES STREET,19 CHARLES ST,0702,Bloomfield Twp,07003    ,UST Fund Application Closed 
64831,19 HADDONFIELD ROAD,19 HADDONFIELD RD,0712,Millburn Twp,07141    ,Suspected
409500,19 ST CHARLES STREET,19 ST CHARLES ST,0714,Newark City,071053921,Known
85662,19 WHEELER STREET,19 WHEELER ST,0713,Montclair Twp,07042    ,Suspected
690242,1A DR MARTIN LUTHER KING JR BOULEVARD,1 DR MARTIN LUTHER KING JR BLVD,0705,East Orange City,07018    ,RAO-Entire Site (Restricted Use)
89428,1 HOUR MARTINIZING CLEANERS,903 18TH AVE,0714,Newark City,07106    ,LSRP Oversight
569920,1 LACKAWANNA PLAZA,1 LACKAWANNA PLAZA ,0713,Montclair Twp,07042    ,LSRP Oversight
75394,1 MARMON TERRACE,1 MARMON TER,0722,West Orange Twp,07052    ,Suspected
143570,1 ORIENT WAY,1 ORIENT WAY,0715,North Caldwell Boro,07006    ,EPA Removal Action Complete
85909,1 RIVER ROAD,1 RIVER RD,0716,Nutley Twp,07110    ,LSRP Oversight
390979,1ST STREET PARK,258 264 1ST ST,0714,Newark City,07102    ,LSRP Oversight
614910,200 16TH AVENUE,200 16TH AVE,0714,Newark City,07103    ,LSRP Oversight
598654,200 MOUNT PLEASANT AVENUE,200 MT PLEASANT AVE,0722,West Orange Twp,07052    ,RAO-A (Unrestricted Use)
121330,202 208 CLINTON PLACE,202 208 CLINTON PL,0714,Newark City,07112    ,LSRP Oversight
449611,202 BELLEVILLE AVENUE,202 BELLEVILLE AVE,0701,Belleville Twp,07109    ,RAO-A (Unrestricted Use)
652353,202 GLENRIDGE AVENUE,202 GLENRIDGE AVE,0713,Montclair Twp,07042    ,LSRP Oversight
767204,203 EAGLE ROCK AVENUE,203 EAGLE ROCK AVE,0722,West Orange Twp,07052    ,Known
393619,203 PARROW STREET,203 PARROW ST,0717,Orange City Twp,07050    ,Suspected
392687,204 12TH AVENUE,204 12TH AVE,0714,Newark City,07107    ,Known
157831,204 206 14TH STREET,204 206 14TH ST,0714,Newark City,07103    ,LSRP Oversight
64754,2052 2090 MCCARTER HIGHWAY,2052 MCCARTER HWY,0714,Newark City,07199    ,LSRP Oversight
170374,208 RIDGEWOOD AVENUE,208 RIDGEWOOD AVE,0714,Newark City,07108    ,Suspected
342891,209 213 MULBERRY STREET,209 213 MULBERRY ST,0714,Newark City,07103    ,RAO-Entire Site (Unrestricted Use)
80082,209 NEWARK AVENUE,209 NEWARK AVE,0702,Bloomfield Twp,07003    ,Suspected
85381,20 BURR ROAD,20 BURR RD,0711,Maplewood Twp,07040    ,Suspected
672813,20 CORNELL DRIVE,20 CORNELL DR,0710,Livingston Twp,07039    ,Known
145271,20 RYNDA ROAD,20 RYNDA RD,0719,South Orange Village Twp,07079    ,Suspected
64843,20 SOUTH ASHBY AVE,20 S ASHBY AVE,0710,Livingston Twp,07039    ,Suspected
64736,20 SUFFOLK AVENUE,20 SUFFOLK AVE,0711,Maplewood Twp,07040    ,Suspected
192055,2 10 CHURCH STREET,2 10 CHURCH ST,0713,Montclair Twp,07042    ,RAO-Entire Site (Unrestricted Use)
65146,210 VALLEY ROAD,210 VALLEY RD,0713,Montclair Twp,07042    ,Suspected
710857,2113 2133 MILLBURN AVENUE,2113 MILLBURN AVE,0711,Maplewood Twp,07040    ,RAO-Child Care Facility (Unrestricted Use)
88458,211 NORTH WYOMING AVENUE,211 N WYOMING AVE,0719,South Orange Village Twp,07079    ,Suspected
459066,21 23 OREGON STREET DRUMS,21 23 OREGON ST,0711,Maplewood Twp,07040    ,No SRP Oversight Required
122561,212 OLD SHORT HILLS ROAD,212 OLD SHORT HILLS RD,0712,Millburn Twp,07078    ,Suspected
754899,215 VALLEY STREET,215 VALLEY ST,0719,South Orange Village Twp,07079    ,LSRP Oversight
376747,216 278 16TH AVE @ WESTSIDE PARK COMMUNITY CENTER,600 S 17TH ST,0714,Newark City,07103    ,RAO-A (Unrestricted Use)
579228,218 WASHINGTON AVENUE,218 WASHINGTON AVE,0716,Nutley Twp,07110    ,RAO-A (Unrestricted Use)
149506,219 221 7TH STREET,219 221 7TH ST,0714,Newark City,07107    ,Known
87969,219 JACOBY STREET,219 JACOBY ST,0711,Maplewood Twp,07040    ,Suspected
628562,21 CENTRAL AVENUE,21 CENTRAL AVE,0703,Caldwell Boro,07006    ,RAO-A (Unrestricted Use)
222065,21 LINCOLN PARK,21 LINCOLN PARK,0714,Newark City,07102    ,RAO-A (Restricted Use)
185762,21 NEWMAN AVENUE,21 NEWMAN AVE,0720,Verona Twp,07044    ,Known
65329,21 ROBERTSON ROAD,21 ROBERTSON RD,0722,West Orange Twp,07052    ,Suspected
409499,21 ST CHARLES STREET,21 ST CHARLES ST ,0714,Newark City,071053921,Known
365835,223 229 THOMAS STREET,223 229 THOMAS ST,0714,Newark City,07114    ,Known
596212,223 BROAD STREET,223 227 BROAD ST,0702,Bloomfield Twp,07003    ,LSRP Oversight
