Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
18456,C&M MFG CO INC DURITE CIRCUITS DIV,141 RIVER RD,0716,Nutley Twp,07110    ,Known
18342,COASTAL SPORTS,22 MADISON RD,0707,Fairfield Twp,07004    ,Known
76077,COBEHN INC,226 PASSAIC AVE,0707,Fairfield Twp,07006    ,LSRP Oversight
264399,COHEN ANNETTE & MICHAEL,22 CRESTWOOD DR,0711,Maplewood Twp,07040    ,Suspected
27015,COHERE BEAUTY CEDAR GROVE INC,10 CLIFFSIDE DR,0704,Cedar Grove Twp,07009    ,Completed-Area of Concern Limited Restricted Use
44429,COLDEBELLA BROTHERS INC,119 121 VERONA AVE,0714,Newark City,07104    ,LSRP Oversight
752183,COLGATE PARK,110 NORTH DAY ST,0717,Orange City Twp,07050    ,LSRP Oversight
8636,COLLOIDS INC,394 406 FRELINGHUYSEN AVE,0714,Newark City,07114    ,RAO-ISRA Entire Site (Restricted Use)
20356,COLONIAL PIPELINE CO NEWARK FACILITY,830 839 DOREMUS AVE,0714,Newark City,07101    ,LSRP Oversight
14924,COLONNADE APARTMENTS,25 CLIFTON AVE,0714,Newark City,07104    ,Known
83878,COLUMBIA ART STORE EQUIPMENT CO,46 56 CORDIER ST,0709,Irvington Twp,07111    ,Known
83870,COLUMBIA AUTO ELECTRIC,845 18TH AVE,0709,Irvington Twp,07111    ,Suspected
222274,COLUMBIA CONTAINER SERVICES,279 295 DOREMUS AVE,0714,Newark City,07105    ,RAO-A (Restricted Use)
516930,COLUMBIA CONTAINER SERVICES,191 DOREMUS AVE,0714,Newark City,07105    ,LSRP Oversight
743269,COLUMBUS CLEANERS INC FORMER COLOCATION,CRANE ST,0714,Newark City,07104    ,Suspected
14227,COLUMBUS HOSPITAL LTACH,495 N 13TH ST,0714,Newark City,071071390,Verified Unknown Source
63647,COMET CHEMICAL CO,410 ADAMS ST,0714,Newark City,07199    ,LSRP Oversight
652688,COMMERCE ROAD & VILLAGE PARK ROAD GW CONTAMINATION,COMMERCE RD & VILLAGE PARK RD,0704,Cedar Grove Twp,07009    ,Known
63713,COMMERCIAL BUILDING,411 443 WILSON AVE,0714,Newark City,07199    ,LSRP Oversight
382632,COMMERCIAL BUILDING @ 226 248 HALSEY STREET,222 236 HALSEY ST,0714,Newark City,07102    ,Suspected
